Year,Female
2008,0.4350660207339877
2009,0.4406620010058733
2010,0.443757535587596
2011,0.4412698059586112
2012,0.4394470128605215
2013,0.4386638220779869
2014,0.4384434061539757
2015,0.439034467694007
2016,0.4409166831665575
2017,0.44191605560835795
2018,0.442308586845288
