Year,Asian,Black,Hispanic,Mixed,Native,White
2008,0.4491010134030729,0.5426326993382387,0.3887745200286577,0.4528181382723934,0.4831395348837209,0.4275052003921861
2009,0.4549292709466812,0.5503528525792856,0.3980454554013595,0.4639344262295082,0.4717293233082706,0.4324150362332061
2010,0.4570292457670601,0.5486461481527171,0.4021230271825972,0.4597674418604651,0.4896376919636201,0.4359394070142672
2011,0.4529391105843101,0.546137683846249,0.3963891033002617,0.4578077254563974,0.4815533980582524,0.4338827427633565
2012,0.451971092054529,0.5413509751019453,0.40127520093395,0.4508553421368547,0.4904309173972095,0.4315309010225974
2013,0.4509112402718944,0.5378064484777803,0.3950453266645827,0.45617233927606704,0.4819183408943616,0.4321769523710157
2014,0.4549873689045396,0.5373813502079704,0.3976172871301935,0.4635024331711219,0.4766366816591704,0.4310120265147277
2015,0.4534666296399149,0.5375070106561974,0.4020197087019197,0.45001869624828617,0.4800349388570002,0.4316614798124496
2016,0.4557111222230159,0.5337108455967154,0.40485710391203605,0.4560899876969946,0.4864994026284349,0.43397433463130497
2017,0.4529490995560138,0.5317424841545462,0.4105349309708592,0.4642644913835017,0.4811691312384474,0.434954730973252
2018,0.4571029464314719,0.5281087546579565,0.41347494978799376,0.4673021730217302,0.4776312691311514,0.4352520814840616
