,WAG,SEX,AGE,EDU,JOB,RACE,WAGP_count,WAGP_mean,Year
64,39901.6828902299,Female,56-70,BS,MLT,ASN,0,1.0,2008
65,24907.32955309361,Female,18-25,BS,MLT,BLK,1,15000.000000000004,2008
66,40374.602772166996,Female,26-35,BS,MLT,BLK,12,55426.61541433263,2008
67,41516.66211942213,Female,36-45,BS,MLT,BLK,6,53946.16326180985,2008
68,41359.186338710475,Female,46-55,BS,MLT,BLK,4,68138.54406142987,2008
69,39076.77174359121,Female,56-70,BS,MLT,BLK,0,1.0,2008
70,26631.476965807873,Female,18-25,BS,MLT,HSP/NTV,4,25871.374552336016,2008
71,37692.27161660411,Female,26-35,BS,MLT,HSP/NTV,6,42671.530960766,2008
72,41665.212873704804,Female,36-45,BS,MLT,HSP/NTV,2,49477.26750741196,2008
73,39489.41340130949,Female,46-55,BS,MLT,HSP/NTV,1,67999.99999999994,2008
74,42912.939506461094,Female,56-70,BS,MLT,HSP/NTV,0,1.0,2008
75,29129.5278011653,Female,18-25,BS,MLT,WHT/MIX,26,31633.936920446456,2008
76,43060.14264881139,Female,26-35,BS,MLT,WHT/MIX,35,44758.02129609857,2008
77,45408.487562902425,Female,36-45,BS,MLT,WHT/MIX,9,59300.93165888979,2008
78,44890.50013660645,Female,46-55,BS,MLT,WHT/MIX,1,74999.99999999996,2008
79,41254.33413217553,Female,56-70,BS,MLT,WHT/MIX,2,121243.55652982139,2008
80,32225.208754997864,Female,18-25,BS,MTN,ASN,1,24900.000000000004,2008
81,39385.10524608309,Female,26-35,BS,MTN,ASN,5,41701.2014223559,2008
82,47887.90438732872,Female,36-45,BS,MTN,ASN,7,52683.97423607674,2008
83,45233.24983768147,Female,46-55,BS,MTN,ASN,6,39533.042065276764,2008
84,43789.964239559755,Female,56-70,BS,MTN,ASN,4,52473.52225017969,2008
85,24907.32955309361,Female,18-25,BS,MTN,BLK,2,21269.696753832668,2008
86,38708.24813502886,Female,26-35,BS,MTN,BLK,12,42574.27251635946,2008
87,45913.105103987546,Female,36-45,BS,MTN,BLK,12,54939.70940163322,2008
88,45297.8095463067,Female,46-55,BS,MTN,BLK,15,51029.608321504704,2008
89,43630.210969963,Female,56-70,BS,MTN,BLK,3,39161.72162305459,2008
90,26678.30798093592,Female,18-25,BS,MTN,HSP/NTV,3,35217.69083196211,2008
91,36078.79099810726,Female,26-35,BS,MTN,HSP/NTV,14,31562.46953862298,2008
92,45285.059849946905,Female,36-45,BS,MTN,HSP/NTV,17,44413.94816429632,2008
93,43555.83531305548,Female,46-55,BS,MTN,HSP/NTV,5,34306.41100947799,2008
94,45736.89346942299,Female,56-70,BS,MTN,HSP/NTV,6,52815.71434106692,2008
95,29129.5278011653,Female,18-25,BS,MTN,WHT/MIX,22,28743.90885553277,2008
96,41517.87122657179,Female,26-35,BS,MTN,WHT/MIX,71,40430.041836144796,2008
97,43495.691364878985,Female,36-45,BS,MTN,WHT/MIX,74,44846.634705347285,2008
98,51395.328842472576,Female,46-55,BS,MTN,WHT/MIX,96,48461.89317409203,2008
99,42126.0000899271,Female,56-70,BS,MTN,WHT/MIX,19,38992.452720237976,2008
100,32150.520095598276,Female,18-25,BS,PRD,ASN,3,38726.55536393193,2008
101,38765.912185473884,Female,26-35,BS,PRD,ASN,33,32661.996591549192,2008
102,33258.92063886342,Female,36-45,BS,PRD,ASN,53,36664.33952068173,2008
103,30680.02483585769,Female,46-55,BS,PRD,ASN,61,29987.190029974896,2008
104,30167.00397996312,Female,56-70,BS,PRD,ASN,33,28505.2434981353,2008
105,24883.953551900377,Female,18-25,BS,PRD,BLK,6,23703.7771787686,2008
106,36264.958947754385,Female,26-35,BS,PRD,BLK,28,38949.35918867257,2008
107,42808.01210348211,Female,36-45,BS,PRD,BLK,24,39517.29979125533,2008
108,42389.21353830696,Female,46-55,BS,PRD,BLK,23,36514.62368393939,2008
109,42421.477533807374,Female,56-70,BS,PRD,BLK,16,42655.47067968588,2008
110,26748.93350828578,Female,18-25,BS,PRD,HSP/NTV,7,22504.257645723334,2008
111,33866.23757326223,Female,26-35,BS,PRD,HSP/NTV,28,30006.2843191261,2008
112,23201.495874148874,Female,36-45,BS,PRD,HSP/NTV,35,30955.63235274501,2008
113,22753.56221476163,Female,46-55,BS,PRD,HSP/NTV,40,25150.520518271216,2008
114,22706.412359631784,Female,56-70,BS,PRD,HSP/NTV,12,21273.01553267763,2008
115,29403.89952427209,Female,18-25,BS,PRD,WHT/MIX,51,28060.898403806958,2008
116,39003.714122550366,Female,26-35,BS,PRD,WHT/MIX,162,39629.29449355573,2008
117,42472.11937946946,Female,36-45,BS,PRD,WHT/MIX,133,43185.11578570406,2008
