,Variable,Category,Total_Count,M_Wage_f,M_Wage_m,M_Wage_Avg,M_Wage_Diff,M_Count,M_Pct_Ct,F_Wage_m,F_Wage_f,F_Wage_Avg,F_Wage_Diff,F_Count,F_Pct_Ct,F_M_Ratio_f,F_M_Ratio_m,F_M_Ratio_Avg,F_M_Ratio_Diff,Year
1,EDU,Highschool,229476,39673.837,39050.832,39362.334,-623.005,137682,0.5999843120849239,29432.097,29716.621,29574.359,-284.524,91794,0.4000156879150761,0.749,0.754,0.752,-0.005,2009
2,EDU,M.S._Degree,91383,71308.734,82452.732,76880.733,11143.998,44450,0.486414322138691,66371.142,60401.852,63386.497,5969.29,46933,0.513585677861309,0.847,0.805,0.826,0.042,2009
3,EDU,No_Highschool,63757,30073.267,30840.33,30456.798,767.063,44307,0.6949354580673495,23733.194,23810.473,23771.834,-77.279,19450,0.30506454193265053,0.792,0.77,0.781,0.022,2009
4,EDU,PhD_or_Prof,38390,101575.653,107101.249,104338.451,5525.596,23947,0.62378223495702,81418.01,79438.839,80428.424,1979.171,14443,0.37621776504297993,0.782,0.76,0.771,0.022,2009
5,EDU,Some_College,301467,47102.365,47094.903,47098.634,-7.462,159205,0.5281009198353386,35763.111,35909.575,35836.343,-146.464,142262,0.4718990801646615,0.762,0.759,0.76,0.003,2009
0,JOB,Art,105632,52983.472,60012.247,56497.86,7028.775,37914,0.35892532565889124,49876.099,44842.002,47359.05,5034.097,67718,0.6410746743411088,0.846,0.831,0.838,0.015,2009
1,JOB,Business,167851,73114.188,77234.677,75174.432,4120.489,94277,0.5616707675259606,58697.651,56093.429,57395.54,2604.222,73574,0.4383292324740395,0.767,0.76,0.764,0.007,2009
2,JOB,Healthcare,55721,65274.515,94388.154,79831.334,29113.639,15089,0.27079557079018685,71115.103,54873.393,62994.248,16241.71,40632,0.7292044292098132,0.841,0.753,0.797,0.088,2009
3,JOB,Maintenance,90540,41897.775,41170.115,41533.945,-727.66,87137,0.9624144024740446,32544.772,33608.434,33076.603,-1063.662,3403,0.03758559752595538,0.802,0.79,0.796,0.012,2009
4,JOB,Military,4754,43583.274,45182.269,44382.772,1598.995,4160,0.8750525872949095,36237.154,35987.681,36112.417,249.473,594,0.12494741270509045,0.826,0.802,0.814,0.024,2009
5,JOB,Production,65758,39221.989,40031.883,39626.936,809.894,48903,0.7436813771708385,28682.336,28165.355,28423.846,516.981,16855,0.25631862282916146,0.718,0.716,0.717,0.002,2009
6,JOB,Sales,225236,45694.683,49048.835,47371.759,3354.152,87025,0.3863725159388375,35668.888,33889.959,34779.424,1778.929,138211,0.6136274840611625,0.742,0.727,0.734,0.015,2009
7,JOB,Science,65708,72588.24,72995.967,72792.104,407.727,49417,0.7520697631947404,60823.25,60789.778,60806.514,33.472,16291,0.24793023680525964,0.837,0.833,0.835,0.004,2009
8,JOB,Services,104674,34948.657,36585.121,35766.889,1636.464,55117,0.5265586487570935,26689.74,25919.909,26304.825,769.831,49557,0.47344135124290654,0.742,0.73,0.736,0.012,2009
9,JOB,Transport,52614,37327.715,37519.658,37423.686,191.943,45893,0.8722583342836507,28052.433,27730.213,27891.323,322.22,6721,0.12774166571634926,0.743,0.748,0.746,-0.005,2009
0,RACE,Asian,45950,57861.828,62051.578,59956.703,4189.75,25046,0.5450707290533188,52369.038,49668.97,51019.004,2700.068,20904,0.4549292709466812,0.858,0.844,0.851,0.014,2009
1,RACE,Black,82329,43508.551,41717.531,42613.041,-1791.02,37019,0.44964714742071443,35197.967,37259.518,36228.742,-2061.551,45310,0.5503528525792856,0.856,0.844,0.85,0.012,2009
2,RACE,Hispanic,106214,40985.794,37814.215,39400.004,-3171.579,63936,0.6019545445986405,29698.08,33463.267,31580.674,-3765.187,42278,0.3980454554013595,0.816,0.785,0.8,0.031,2009
3,RACE,Mixed,12200,48840.195,49482.95,49161.572,642.755,6540,0.5360655737704918,39443.831,39927.641,39685.736,-483.81,5660,0.4639344262295082,0.818,0.797,0.808,0.021,2009
4,RACE,Native,6650,42480.739,42582.56,42531.65,101.821,3513,0.5282706766917293,33922.726,34107.005,34014.866,-184.279,3137,0.47172932330827066,0.803,0.797,0.8,0.006,2009
5,RACE,White,685145,56052.437,57444.086,56748.262,1391.649,388878,0.5675849637667939,43368.016,42781.152,43074.584,586.864,296267,0.4324150362332061,0.763,0.755,0.759,0.008,2009
0,AGE,18-22,24742,23784.516,23688.469,23736.492,-96.047,15204,0.6145016571012852,21688.71,21661.081,21674.896,27.629,9538,0.38549834289871476,0.911,0.916,0.914,-0.005,2009
1,AGE,23-28,102836,35868.497,34953.324,35410.91,-915.173,55940,0.5439729277684857,29852.234,32125.235,30988.734,-2273.001,46896,0.45602707223151423,0.896,0.854,0.875,0.042,2009
2,AGE,29-36,162089,50454.565,48827.282,49640.924,-1627.283,92442,0.5703163077074941,38954.617,41062.571,40008.594,-2107.954,69647,0.42968369229250597,0.814,0.798,0.806,0.016,2009
3,AGE,37-45,214741,57942.224,58460.303,58201.264,518.079,122867,0.5721636762425434,44188.459,43993.158,44090.808,195.301,91874,0.42783632375745667,0.759,0.756,0.758,0.003,2009
4,AGE,46-55,264802,58766.279,60508.872,59637.576,1742.593,144638,0.5462118866171706,44772.181,44167.423,44469.802,604.758,120164,0.45378811338282943,0.752,0.74,0.746,0.012,2009
5,AGE,56-70,169278,54641.203,59294.579,56967.891,4653.376,93841,0.55436028308463,45285.234,42773.464,44029.349,2511.77,75437,0.44563971691536997,0.783,0.764,0.774,0.019,2009
0,SEX,Female,917314,53684.574,54701.069,54192.822,1016.495,510249,0.556242464412404,42148.132,42005.1,42076.616,143.032,407065,0.44375753558759595,0.782,0.771,0.776,0.011,2010
0,EDU,B.S._Degree,212679,63099.833,68262.606,65681.22,5162.773,113778,0.5349752443823791,52591.516,49552.216,51071.866,3039.3,98901,0.4650247556176209,0.785,0.77,0.778,0.015,2010
1,EDU,Highschool,221982,39336.227,38954.502,39145.364,-381.725,132925,0.5988098134082943,29811.527,29856.762,29834.144,-45.235,89057,0.40119018659170563,0.759,0.765,0.762,-0.006,2010
2,EDU,M.S._Degree,92324,72217.388,84390.921,78304.154,12173.533,44469,0.4816624063082189,66962.56,60757.374,63859.967,6205.186,47855,0.5183375936917811,0.841,0.793,0.817,0.048,2010
3,EDU,No_Highschool,61010,30113.042,30587.465,30350.254,474.423,42244,0.692411080150795,23909.857,23991.14,23950.498,-81.283,18766,0.30758891984920506,0.797,0.782,0.79,0.015,2010
4,EDU,PhD_or_Prof,39404,105603.557,111603.543,108603.55,5999.986,24512,0.6220688254999492,83929.792,81330.497,82630.144,2599.295,14892,0.37793117450005076,0.77,0.752,0.761,0.018,2010
5,EDU,Some_College,289915,47353.776,47175.458,47264.617,-178.318,152321,0.5253988237931808,36203.114,36121.875,36162.494,81.239,137594,0.47460117620681924,0.763,0.767,0.765,-0.004,2010
0,JOB,Art,106227,54086.365,61584.326,57835.345,7497.961,38199,0.359597842356463,50721.383,45440.387,48080.885,5280.996,68028,0.6404021576435369,0.84,0.824,0.832,0.016,2010
1,JOB,Business,165601,74562.945,79016.933,76789.939,4453.988,92582,0.5590666723027035,59590.459,56845.464,58217.962,2744.995,73019,0.44093332769729654,0.762,0.754,0.758,0.008,2010
2,JOB,Healthcare,56596,67206.969,98905.109,83056.039,31698.14,15413,0.2723337338327797,73833.051,56250.04,65041.546,17583.011,41183,0.7276662661672203,0.837,0.747,0.792,0.09,2010
3,JOB,Maintenance,84270,41970.775,41322.23,41646.502,-648.545,81031,0.961564020410585,33947.904,35301.394,34624.649,-1353.49,3239,0.03843597958941498,0.841,0.822,0.831,0.019,2010
4,JOB,Military,4458,44653.609,45025.725,44839.667,372.116,3928,0.8811126065500224,35568.159,36365.361,35966.76,-797.202,530,0.11888739344997756,0.814,0.79,0.802,0.024,2010
5,JOB,Production,62523,38906.513,39864.128,39385.32,957.615,46445,0.7428466324392623,28783.743,28174.111,28478.927,609.632,16078,0.25715336756073764,0.724,0.722,0.723,0.002,2010
6,JOB,Sales,217415,45549.482,48860.238,47204.86,3310.756,84704,0.3895959340431893,35590.416,34000.536,34795.476,1589.88,132711,0.6104040659568107,0.746,0.728,0.737,0.018,2010
7,JOB,Science,62672,73424.377,73996.736,73710.556,572.359,47280,0.7544038805208068,61253.365,61167.795,61210.58,85.57,15392,0.24559611947919327,0.833,0.828,0.83,0.005,2010
8,JOB,Services,105464,34853.617,36461.788,35657.702,1608.171,55566,0.5268717287415611,26839.282,26042.879,26441.08,796.403,49898,0.4731282712584389,0.747,0.736,0.742,0.011,2010
9,JOB,Transport,52088,37510.737,37221.897,37366.317,-288.84,45101,0.8658616187989556,28471.145,28684.363,28577.754,-213.218,6987,0.13413838120104438,0.765,0.765,0.765,0.0,2010
0,RACE,Asian,46776,58622.14,63295.945,60959.042,4673.805,25398,0.54297075423294,53060.896,50495.426,51778.161,2565.47,21378,0.45702924576706005,0.861,0.838,0.849,0.023,2010
1,RACE,Black,81065,43864.809,42208.137,43036.473,-1656.672,36589,0.45135385184728305,35870.879,37588.706,36729.792,-1717.827,44476,0.548646148152717,0.857,0.85,0.853,0.007,2010
2,RACE,Hispanic,107017,41534.922,37937.514,39736.218,-3597.408,63983,0.5978769728174028,30344.951,34051.716,32198.334,-3706.765,43034,0.4021230271825972,0.82,0.8,0.81,0.02,2010
3,RACE,Mixed,12900,50553.433,50152.134,50352.784,-401.299,6969,0.5402325581395349,40451.853,41012.974,40732.414,-561.121,5931,0.45976744186046514,0.811,0.807,0.809,0.004,2010
4,RACE,Native,6707,43332.247,43137.692,43234.97,-194.555,3423,0.5103623080363799,35782.275,35530.317,35656.296,251.958,3284,0.4896376919636201,0.82,0.829,0.824,-0.009,2010
5,RACE,White,662849,56822.026,58399.183,57610.604,1577.157,373887,0.5640605929857327,44130.899,43335.14,43733.019,795.759,288962,0.4359394070142672,0.763,0.756,0.76,0.007,2010
0,AGE,18-22,21995,23553.963,23342.237,23448.1,-211.726,13390,0.6087747215276199,21921.428,21437.59,21679.509,483.838,8605,0.3912252784723801,0.91,0.939,0.924,-0.029,2010
